,edge,Estimate,p-value,lval,rval,op,raw_pvalue,adjFDR,key,belife,adjFCDR
0,Sea_Temperature~Intercept,19.992638016590128,0.0,Sea_Temperature,Intercept,~,0.0,0.0,Sea_Temperature~Intercept,1.0,0.0
1,Sea_Temperature~Winter_Ind,-9.991183162767236,0.0,Sea_Temperature,Winter_Ind,~,0.0,0.0,Sea_Temperature~Winter_Ind,3.0,0.0
2,Wind_Speed~Intercept,39.95956267825536,0.0,Wind_Speed,Intercept,~,0.0,0.0,Wind_Speed~Intercept,1.0,0.0
3,Wind_Speed~Winter_Ind,19.973616465360394,0.0,Wind_Speed,Winter_Ind,~,0.0,0.0,Wind_Speed~Winter_Ind,3.0,0.0
4,Rotational_RPM~Intercept,1.2005969827877858,0.0,Rotational_RPM,Intercept,~,0.0,0.0,Rotational_RPM~Intercept,1.0,0.0
5,Rotational_RPM~Wind_Speed,0.10000680664404896,0.0,Rotational_RPM,Wind_Speed,~,0.0,0.0,Rotational_RPM~Wind_Speed,3.0,0.0
6,Energy_Yield~Intercept,10.053071158572534,0.0,Energy_Yield,Intercept,~,0.0,0.0,Energy_Yield~Intercept,1.0,0.0
7,Energy_Yield~Rotational_RPM,0.6637572816321525,0.0,Energy_Yield,Rotational_RPM,~,0.0,0.0,Energy_Yield~Rotational_RPM,3.0,0.0
8,Energy_Yield~Strength_Degradation,-0.12819153603176886,5.436318033200531e-282,Energy_Yield,Strength_Degradation,~,3.980162023894323e-282,5.264085257408621e-282,Energy_Yield~Strength_Degradation,1.0,5.436318033200531e-282
9,Perceived_Noise~Intercept,19.963094526045865,0.0,Perceived_Noise,Intercept,~,0.0,0.0,Perceived_Noise~Intercept,1.0,0.0
10,Perceived_Noise~Rotational_RPM,0.6515469607797131,0.0,Perceived_Noise,Rotational_RPM,~,0.0,0.0,Perceived_Noise~Rotational_RPM,3.0,0.0
11,Perceived_Noise~Strength_Degradation,0.03688168303610092,1.2631707437092059e-102,Perceived_Noise,Strength_Degradation,~,1.026326327948574e-102,1.237628807232104e-102,Perceived_Noise~Strength_Degradation,1.0,1.2631707437092059e-102
12,Perceived_Noise~Wind_Speed,-0.24857065898040162,0.0,Perceived_Noise,Wind_Speed,~,0.0,0.0,Perceived_Noise~Wind_Speed,3.0,0.0
13,covariance,0.21046619394719737,0.0,Winter_Ind,Winter_Ind,~~,0.0,0.0,Winter_Ind~~Winter_Ind,1.0,0.0
14,covariance,-2.102722832414321,0.0,Winter_Ind,Sea_Temperature,~~,0.0,0.0,Winter_Ind~~Sea_Temperature,1.0,0.0
15,covariance,4.203381618762333,0.0,Winter_Ind,Wind_Speed,~~,0.0,0.0,Winter_Ind~~Wind_Speed,1.0,0.0
16,covariance,3.463929796295697e-06,0.0,Winter_Ind,Strength_Degradation,~~,0.0,0.0,Winter_Ind~~Strength_Degradation,1.0,0.0
17,covariance,0.4203669217079389,0.0,Winter_Ind,Rotational_RPM,~~,0.0,0.0,Winter_Ind~~Rotational_RPM,1.0,0.0
18,covariance,0.2790964458311087,0.0,Winter_Ind,Energy_Yield,~~,0.0,0.0,Winter_Ind~~Energy_Yield,1.0,0.0
19,covariance,-0.7710365019370049,0.0,Winter_Ind,Perceived_Noise,~~,0.0,0.0,Winter_Ind~~Perceived_Noise,1.0,0.0
20,covariance,24.970079281983324,4.1916820844377677e-41,Sea_Temperature,Sea_Temperature,~~,3.630296324896235e-41,4.1345041477984895e-41,Sea_Temperature~~Sea_Temperature,1.0,4.1916820844377677e-41
21,covariance,-41.9980196048384,0.02360377122339999,Sea_Temperature,Wind_Speed,~~,0.022971527614778595,0.02354581580514806,Sea_Temperature~~Wind_Speed,1.0,0.02360377122339999
22,covariance,-5.936845126785538e-05,0.0,Sea_Temperature,Strength_Degradation,~~,0.0,0.0,Sea_Temperature~~Strength_Degradation,1.0,0.0
23,covariance,-4.200064855221363,0.0,Sea_Temperature,Rotational_RPM,~~,0.0,0.0,Sea_Temperature~~Rotational_RPM,1.0,0.0
24,covariance,-2.7882495338693225,1.7436674944535853e-186,Sea_Temperature,Energy_Yield,~~,1.3700246156118309e-186,1.7021517951540929e-186,Sea_Temperature~~Energy_Yield,1.0,1.7436674944535853e-186
25,covariance,7.704185312012444,1.3196930239603308e-07,Sea_Temperature,Perceived_Noise,~~,1.2489952128483505e-07,1.3130462494046763e-07,Sea_Temperature~~Perceived_Noise,1.0,1.3196930239603308e-07
26,covariance,184.91732593992847,0.21522902341849193,Wind_Speed,Wind_Speed,~~,0.21522902341849193,0.2152290234184919,Wind_Speed~~Wind_Speed,1.0,0.21522902341849193
27,covariance,0.00022517084737340955,0.0,Wind_Speed,Strength_Degradation,~~,0.0,0.0,Wind_Speed~~Strength_Degradation,1.0,0.0
28,covariance,18.493526270257767,3.892100916184969e-45,Wind_Speed,Rotational_RPM,~~,3.2665849581431655e-45,3.826570950967708e-45,Wind_Speed~~Rotational_RPM,1.0,3.892100916184969e-45
29,covariance,12.278068432917964,1.1516769468951762e-18,Wind_Speed,Energy_Yield,~~,1.028283039713221e-18,1.139448773736272e-18,Wind_Speed~~Energy_Yield,1.0,1.1516769468951762e-18
30,covariance,-33.91716255975071,3.5490656077675497e-13,Wind_Speed,Perceived_Noise,~~,3.263872954544676e-13,3.521547135166624e-13,Wind_Speed~~Perceived_Noise,1.0,3.5490656077675497e-13
31,covariance,0.009915816809011062,0.0,Strength_Degradation,Strength_Degradation,~~,0.0,0.0,Strength_Degradation~~Strength_Degradation,1.0,0.0
32,covariance,2.3402056087222978e-05,0.0,Strength_Degradation,Rotational_RPM,~~,0.0,0.0,Strength_Degradation~~Rotational_RPM,1.0,0.0
33,covariance,-0.0012494925762296311,0.0,Strength_Degradation,Energy_Yield,~~,0.0,0.0,Strength_Degradation~~Energy_Yield,1.0,0.0
34,covariance,0.00033355546339462495,0.0,Strength_Degradation,Perceived_Noise,~~,0.0,0.0,Strength_Degradation~~Perceived_Noise,1.0,0.0
35,covariance,1.889669880844805,0.0,Rotational_RPM,Rotational_RPM,~~,0.0,0.0,Rotational_RPM~~Rotational_RPM,1.0,0.0
36,covariance,1.254592244846227,0.0,Rotational_RPM,Energy_Yield,~~,0.0,0.0,Rotational_RPM~~Energy_Yield,1.0,0.0
37,covariance,-3.365897564934867,0.0,Rotational_RPM,Perceived_Noise,~~,0.0,0.0,Rotational_RPM~~Perceived_Noise,1.0,0.0
38,covariance,4.768479763539257,0.0,Energy_Yield,Energy_Yield,~~,0.0,0.0,Energy_Yield~~Energy_Yield,1.0,0.0
39,covariance,-2.2344521203683088,0.0,Energy_Yield,Perceived_Noise,~~,0.0,0.0,Energy_Yield~~Perceived_Noise,1.0,0.0
40,covariance,7.254583373417123,4.854996501342806e-253,Perceived_Noise,Perceived_Noise,~~,3.6845960467200395e-253,4.7208886848600505e-253,Perceived_Noise~~Perceived_Noise,1.0,4.854996501342806e-253
41,,,0.0,Energy_Yield,Simes,~,,,Simes,1.0,0.0
